X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-84.575144,46.527582,0,0,144,189.4,2024/11/09 16:59:26+00,,,,,,,,,,,,,,,,,,,,,
-84.575044,46.52758,0,0,145,189.6,2024/11/09 16:59:27+00,,,,,,,,,,,,,,,,,,,,,
-84.574941,46.527578,0,0,146,189.8,2024/11/09 16:59:28+00,,,,,,,,,,,,,,,,,,,,,
-84.574837,46.527579,0,0,147,190,2024/11/09 16:59:29+00,,,,,,,,,,,,,,,,,,,,,
-84.574725,46.527575,0,0,148,190.3,2024/11/09 16:59:30+00,,,,,,,,,,,,,,,,,,,,,
-84.574619,46.527576,0,0,149,190.5,2024/11/09 16:59:31+00,,,,,,,,,,,,,,,,,,,,,
-84.574522,46.527568,0,0,150,190.7,2024/11/09 16:59:32+00,,,,,,,,,,,,,,,,,,,,,
-84.574427,46.527564,0,0,151,190.9,2024/11/09 16:59:33+00,,,,,,,,,,,,,,,,,,,,,
-84.574335,46.527565,0,0,152,191,2024/11/09 16:59:34+00,,,,,,,,,,,,,,,,,,,,,
-84.57424,46.527567,0,0,153,191.2,2024/11/09 16:59:35+00,,,,,,,,,,,,,,,,,,,,,
-84.574146,46.52757,0,0,154,191.4,2024/11/09 16:59:36+00,,,,,,,,,,,,,,,,,,,,,
-84.574056,46.527571,0,0,155,191.5,2024/11/09 16:59:37+00,,,,,,,,,,,,,,,,,,,,,
-84.573959,46.527575,0,0,156,191.7,2024/11/09 16:59:38+00,,,,,,,,,,,,,,,,,,,,,
-84.57386,46.527577,0,0,157,191.8,2024/11/09 16:59:39+00,,,,,,,,,,,,,,,,,,,,,
-84.573757,46.527581,0,0,158,192,2024/11/09 16:59:40+00,,,,,,,,,,,,,,,,,,,,,
-84.573655,46.527586,0,0,159,192.1,2024/11/09 16:59:41+00,,,,,,,,,,,,,,,,,,,,,
-84.573564,46.527588,0,0,160,192.2,2024/11/09 16:59:42+00,,,,,,,,,,,,,,,,,,,,,
-84.573474,46.527587,0,0,161,192.2,2024/11/09 16:59:43+00,,,,,,,,,,,,,,,,,,,,,
-84.573384,46.527581,0,0,162,192.2,2024/11/09 16:59:44+00,,,,,,,,,,,,,,,,,,,,,
-84.573291,46.527578,0,0,163,192.2,2024/11/09 16:59:45+00,,,,,,,,,,,,,,,,,,,,,
-84.573196,46.52758,0,0,164,192.2,2024/11/09 16:59:46+00,,,,,,,,,,,,,,,,,,,,,
-84.5731,46.527583,0,0,165,192.1,2024/11/09 16:59:47+00,,,,,,,,,,,,,,,,,,,,,
-84.573002,46.527587,0,0,166,192,2024/11/09 16:59:48+00,,,,,,,,,,,,,,,,,,,,,
-84.572907,46.527589,0,0,167,192,2024/11/09 16:59:49+00,,,,,,,,,,,,,,,,,,,,,
-84.57281,46.52759,0,0,168,191.9,2024/11/09 16:59:50+00,,,,,,,,,,,,,,,,,,,,,
-84.572711,46.527587,0,0,169,191.8,2024/11/09 16:59:51+00,,,,,,,,,,,,,,,,,,,,,
-84.572606,46.527587,0,0,170,191.8,2024/11/09 16:59:52+00,,,,,,,,,,,,,,,,,,,,,
-84.572507,46.527588,0,0,171,191.8,2024/11/09 16:59:53+00,,,,,,,,,,,,,,,,,,,,,
-84.572411,46.527589,0,0,172,191.8,2024/11/09 16:59:54+00,,,,,,,,,,,,,,,,,,,,,
-84.572318,46.52759,0,0,173,191.8,2024/11/09 16:59:55+00,,,,,,,,,,,,,,,,,,,,,
-84.572222,46.527589,0,0,174,191.9,2024/11/09 16:59:56+00,,,,,,,,,,,,,,,,,,,,,
