longitude,latitude,annotation
-17.77755,25.16097,outdoor
-17.77752,25.16098,outdoor
-17.77751,25.16098,outdoor
-17.7775,25.16099,outdoor
-17.77748,25.16099,outdoor
-17.77746,25.16099,outdoor
-17.77745,25.16099,outdoor
-17.77743,25.161,outdoor
-17.77741,25.161,outdoor
-17.7774,25.161,outdoor
-17.77738,25.16101,outdoor
-17.77737,25.16101,outdoor
-17.77736,25.16101,outdoor
-17.77734,25.16102,outdoor
-17.77733,25.16102,outdoor
-17.77732,25.16102,outdoor
-17.77731,25.16102,outdoor
-17.7773,25.16102,outdoor
-17.77729,25.16103,outdoor
-17.77728,25.16103,outdoor
-17.77727,25.16103,outdoor
-17.77727,25.16103,outdoor
-17.77727,25.16103,outdoor
-17.77726,25.16103,outdoor
-17.77726,25.16103,outdoor
-17.77726,25.16103,outdoor
-17.77726,25.16103,outdoor
-17.77726,25.16103,outdoor
-17.77726,25.16103,outdoor
-17.77726,25.16103,outdoor
-17.77726,25.16103,outdoor
-17.77726,25.16103,outdoor
-17.77726,25.16103,outdoor
-17.77726,25.16103,outdoor
-17.77726,25.16103,outdoor
-17.77719,25.16103,outdoor
-17.77718,25.16103,outdoor
-17.77718,25.16103,outdoor
-17.77718,25.16103,outdoor
-17.77718,25.16103,outdoor
-17.77717,25.16103,outdoor
-17.77717,25.16103,outdoor
-17.77717,25.16103,outdoor
-17.77718,25.16103,outdoor
-17.77718,25.16103,outdoor
-17.77718,25.16103,outdoor
-17.77718,25.16103,outdoor
-17.77718,25.16103,outdoor
-17.77717,25.16103,outdoor
-17.77717,25.16103,outdoor
-17.77716,25.16102,outdoor
-17.77715,25.16103,outdoor
-17.77714,25.16103,outdoor
-17.77713,25.16103,outdoor
-17.77712,25.16103,outdoor
-17.77711,25.16104,outdoor
-17.77711,25.16104,outdoor
-17.7771,25.16104,outdoor
-17.77709,25.16105,outdoor
-17.77709,25.16105,outdoor
-17.77708,25.16106,outdoor
-17.77707,25.16106,outdoor
-17.77706,25.16106,outdoor
-17.77705,25.16106,outdoor
-17.77704,25.16106,outdoor
-17.77703,25.16106,outdoor
-17.77702,25.16106,outdoor
-17.77701,25.16106,outdoor
-17.777,25.16105,outdoor
-17.77699,25.16105,outdoor
-17.77698,25.16106,outdoor
-17.77697,25.16106,outdoor
-17.77697,25.16107,outdoor
-17.77696,25.16107,outdoor
-17.77695,25.16108,outdoor
-17.77694,25.16108,outdoor
-17.77693,25.16108,outdoor
-17.77691,25.16108,outdoor
-17.7769,25.16108,outdoor
-17.77689,25.16108,outdoor
-17.77688,25.16108,outdoor
-17.77687,25.16108,outdoor
-17.77686,25.16109,outdoor
-17.77685,25.16109,outdoor
-17.77685,25.1611,outdoor
-17.77684,25.1611,outdoor
-17.77683,25.1611,outdoor
-17.77682,25.16111,outdoor
-17.77681,25.16112,outdoor
-17.7768,25.16112,outdoor
-17.77679,25.16113,outdoor
-17.77678,25.16113,outdoor
-17.77677,25.16114,outdoor
-17.77676,25.16114,outdoor
-17.77676,25.16115,outdoor
-17.77675,25.16115,outdoor
-17.77673,25.16116,outdoor
-17.77672,25.16116,outdoor
-17.77671,25.16116,outdoor
-17.7767,25.16117,outdoor
-17.77669,25.16118,outdoor
-17.77668,25.16119,outdoor
-17.77667,25.16119,outdoor
-17.77666,25.1612,outdoor
-17.77665,25.16121,outdoor
-17.77665,25.16122,outdoor
-17.77664,25.16122,outdoor
-17.77663,25.16123,outdoor
-17.77662,25.16124,outdoor
-17.77662,25.16124,outdoor
-17.77661,25.16125,outdoor
-17.7766,25.16126,outdoor
-17.77659,25.16126,outdoor
-17.77658,25.16127,outdoor
-17.77657,25.16128,outdoor
-17.77657,25.16129,outdoor
-17.77656,25.1613,outdoor
-17.77655,25.1613,outdoor
-17.77654,25.16131,outdoor
-17.77653,25.16133,outdoor
-17.77652,25.16133,outdoor
-17.77652,25.16134,outdoor
-17.77651,25.16135,outdoor
-17.7765,25.16135,outdoor
-17.77649,25.16136,outdoor
-17.77648,25.16137,outdoor
-17.77647,25.16138,outdoor
-17.77646,25.16139,outdoor
-17.77646,25.16139,outdoor
-17.77645,25.1614,outdoor
-17.77644,25.16141,outdoor
-17.77643,25.16142,outdoor
-17.77642,25.16142,outdoor
-17.77641,25.16143,outdoor
-17.7764,25.16144,outdoor
-17.77639,25.16145,outdoor
-17.77638,25.16145,outdoor
-17.77637,25.16146,outdoor
-17.77636,25.16147,outdoor
-17.77636,25.16148,outdoor
-17.77635,25.16148,outdoor
-17.77634,25.16149,outdoor
-17.77633,25.1615,outdoor
-17.77632,25.1615,outdoor
-17.77631,25.16151,outdoor
-17.7763,25.16152,outdoor
-17.7763,25.16152,outdoor
-17.77629,25.16153,outdoor
-17.77628,25.16154,outdoor
-17.77627,25.16156,outdoor
-17.77626,25.16156,outdoor
-17.77626,25.16157,outdoor
-17.77625,25.16158,outdoor
-17.77624,25.16159,outdoor
-17.77623,25.16159,outdoor
-17.77621,25.16161,outdoor
-17.77621,25.16161,outdoor
-17.7762,25.16162,outdoor
-17.77618,25.16163,outdoor
-17.77617,25.16164,outdoor
-17.77617,25.16164,outdoor
-17.77615,25.16165,outdoor
-17.77614,25.16165,outdoor
-17.77614,25.16166,outdoor
-17.77613,25.16166,outdoor
-17.77612,25.16167,outdoor
-17.77611,25.16167,outdoor
-17.7761,25.16168,outdoor
-17.77609,25.16169,outdoor
-17.77608,25.1617,outdoor
-17.77607,25.16171,outdoor
-17.77606,25.16171,outdoor
-17.77605,25.16172,outdoor
-17.77604,25.16173,outdoor
-17.77603,25.16174,outdoor
-17.77602,25.16174,outdoor
-17.776,25.16174,outdoor
-17.776,25.16173,outdoor
-17.77599,25.16173,outdoor
-17.77597,25.16172,outdoor
-17.77596,25.16172,outdoor
-17.77595,25.16172,outdoor
-17.77594,25.16173,outdoor
-17.77593,25.16173,outdoor
-17.77592,25.16174,outdoor
-17.77592,25.16175,outdoor
-17.77591,25.16176,outdoor
-17.77591,25.16177,outdoor
-17.7759,25.16178,outdoor
-17.77589,25.16179,outdoor
-17.77588,25.1618,outdoor
-17.77587,25.16181,outdoor
-17.77586,25.16182,outdoor
-17.77586,25.16182,outdoor
-17.77585,25.16183,outdoor
-17.77585,25.16184,outdoor
-17.77584,25.16185,outdoor
-17.77583,25.16187,outdoor
-17.77582,25.16187,outdoor
-17.77582,25.16188,outdoor
-17.77581,25.16189,outdoor
-17.7758,25.1619,outdoor
-17.77578,25.16191,outdoor
-17.77577,25.16191,outdoor
-17.77576,25.16191,outdoor
-17.77575,25.16192,outdoor
-17.77574,25.16192,outdoor
-17.77572,25.16192,outdoor
-17.7757,25.16192,outdoor
-17.77569,25.16192,outdoor
-17.77568,25.16192,outdoor
-17.77567,25.16192,outdoor
-17.77566,25.16193,outdoor
-17.77566,25.16193,outdoor
-17.77565,25.16193,outdoor
-17.77564,25.16194,outdoor
-17.77563,25.16195,outdoor
-17.77562,25.16197,outdoor
-17.77561,25.16197,outdoor
-17.77561,25.16198,outdoor
-17.7756,25.16199,outdoor
-17.77559,25.162,outdoor
-17.77558,25.16201,outdoor
-17.77557,25.16201,outdoor
-17.77556,25.16202,outdoor
-17.77555,25.16202,outdoor
-17.77553,25.16203,outdoor
-17.77552,25.16203,outdoor
-17.77552,25.16203,outdoor
-17.77551,25.16204,outdoor
-17.7755,25.16204,outdoor
-17.77549,25.16205,outdoor
-17.77548,25.16205,outdoor
-17.77547,25.16205,outdoor
-17.77546,25.16206,outdoor
-17.77544,25.16206,outdoor
-17.77543,25.16207,outdoor
-17.77542,25.16207,outdoor
-17.7754,25.16208,outdoor
-17.77539,25.16208,outdoor
-17.77539,25.16209,outdoor
-17.77538,25.16209,outdoor
-17.77537,25.16209,outdoor
-17.77536,25.16209,outdoor
-17.77535,25.16209,outdoor
-17.77533,25.16209,outdoor
-17.77532,25.16209,outdoor
-17.7753,25.16209,outdoor
-17.77529,25.16209,outdoor
-17.77528,25.16209,outdoor
-17.77527,25.16209,outdoor
-17.77526,25.16209,outdoor
-17.77525,25.16209,outdoor
-17.77524,25.16208,outdoor
-17.77524,25.16207,outdoor
-17.77524,25.16206,outdoor
-17.77523,25.16204,outdoor
-17.77523,25.16203,outdoor
-17.77522,25.16203,outdoor
-17.77521,25.16202,outdoor
-17.77521,25.16201,outdoor
-17.77521,25.162,outdoor
-17.77521,25.162,outdoor
-17.7752,25.162,outdoor
-17.77521,25.162,outdoor
-17.77521,25.162,outdoor
-17.77521,25.162,outdoor
-17.77521,25.162,outdoor
-17.77521,25.162,outdoor
-17.77521,25.16201,outdoor
-17.77521,25.16201,outdoor
-17.77521,25.162,outdoor
-17.77522,25.16201,outdoor
-17.77524,25.162,outdoor
-17.77524,25.162,outdoor
-17.77524,25.16199,outdoor
-17.77525,25.162,outdoor
-17.77526,25.162,outdoor
-17.77525,25.162,outdoor
-17.77526,25.162,outdoor
-17.77526,25.162,outdoor
-17.77527,25.162,outdoor
-17.77527,25.16201,outdoor
-17.77528,25.16201,outdoor
-17.77528,25.16201,outdoor
-17.77528,25.16201,outdoor
-17.77528,25.16201,outdoor
-17.77528,25.16201,outdoor
-17.77528,25.16202,outdoor
-17.77529,25.16202,outdoor
-17.77529,25.16202,outdoor
-17.77529,25.16202,outdoor
-17.77529,25.16202,outdoor
