longitude,latitude,annotation,,,,,,,,,,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-84.276917,46.590022,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.276929,46.590051,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.276945,46.590082,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.276961,46.59011,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.27699,46.590145,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277001,46.590155,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277019,46.590174,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277023,46.590184,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277035,46.590201,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277051,46.590214,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277067,46.590227,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277118,46.590242,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277138,46.590247,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277181,46.59023,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277196,46.590222,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277268,46.59021,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277305,46.590211,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277392,46.59021,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277457,46.590194,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277529,46.590176,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277585,46.590159,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277637,46.590147,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277686,46.590125,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277698,46.590111,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277736,46.590098,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277776,46.590087,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277823,46.590084,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277842,46.590084,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277894,46.590078,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277898,46.590029,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.27794,46.590014,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.27799,46.590011,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277988,46.590004,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277967,46.590004,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277953,46.590008,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277946,46.59002,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277942,46.590049,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277941,46.590057,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277952,46.590098,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277959,46.590117,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277965,46.590154,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277959,46.590189,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277943,46.590229,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277913,46.590261,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277886,46.590305,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277829,46.590336,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277772,46.590371,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277716,46.5904,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277664,46.590428,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277638,46.59045,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277607,46.590481,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277598,46.590489,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277571,46.590516,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277563,46.590525,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277556,46.590534,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
