longitude,latitude,annotation
-17.82484,24.94783,outdoor
-17.8248,24.94783,outdoor
-17.82477,24.94783,outdoor
-17.82474,24.94784,outdoor
-17.82471,24.94785,outdoor
-17.82468,24.94787,outdoor
-17.82465,24.94789,outdoor
-17.82463,24.94791,outdoor
-17.82461,24.94794,outdoor
-17.82459,24.94797,outdoor
-17.82457,24.948,outdoor
-17.82455,24.94803,outdoor
-17.82453,24.94806,outdoor
-17.82451,24.94809,outdoor
-17.82449,24.94811,outdoor
-17.82447,24.94814,outdoor
-17.82447,24.94815,outdoor
-17.82445,24.94818,outdoor
-17.82444,24.94819,outdoor
-17.82442,24.94822,outdoor
-17.82442,24.94823,outdoor
-17.82439,24.94826,outdoor
-17.82438,24.94827,outdoor
-17.82435,24.94828,outdoor
-17.82433,24.94829,outdoor
-17.8243,24.94829,outdoor
-17.82429,24.94829,outdoor
-17.82428,24.94829,outdoor
-17.82427,24.94829,outdoor
-17.82427,24.94829,outdoor
-17.82427,24.94829,outdoor
-17.82427,24.94829,outdoor
-17.82427,24.94829,outdoor
-17.82426,24.94829,outdoor
-17.82426,24.94829,outdoor
-17.82426,24.94829,outdoor
-17.82426,24.94829,outdoor
-17.82425,24.94829,outdoor
-17.82425,24.94829,outdoor
-17.82425,24.94829,outdoor
-17.82421,24.94829,outdoor
-17.8242,24.9483,outdoor
-17.82417,24.9483,outdoor
-17.82413,24.9483,outdoor
-17.82412,24.9483,outdoor
-17.82409,24.9483,outdoor
-17.82406,24.9483,outdoor
-17.82402,24.94831,outdoor
-17.82399,24.94832,outdoor
-17.82396,24.94834,outdoor
-17.82392,24.94836,outdoor
-17.82389,24.94839,outdoor
-17.82387,24.94842,outdoor
-17.82385,24.94846,outdoor
-17.82384,24.94849,outdoor
-17.82383,24.94853,outdoor
-17.82383,24.94857,outdoor
-17.82383,24.94861,outdoor
-17.82384,24.94865,outdoor
-17.82387,24.94869,outdoor
-17.82389,24.94874,outdoor
-17.82392,24.94879,outdoor
-17.82394,24.94884,outdoor
-17.82395,24.94889,outdoor
-17.82397,24.94893,outdoor
-17.82399,24.94898,outdoor
-17.824,24.94902,outdoor
-17.82401,24.94906,outdoor
-17.82403,24.9491,outdoor
-17.82405,24.94915,outdoor
-17.82407,24.94919,outdoor
-17.82409,24.94924,outdoor
-17.82411,24.94928,outdoor
-17.82412,24.94932,outdoor
-17.82413,24.94936,outdoor
-17.82414,24.9494,outdoor
-17.82414,24.94944,outdoor
