longitude,latitude,annotation
-84.279185,46.595009,outdoor
-84.279196,46.595019,outdoor
-84.279209,46.595026,outdoor
-84.279201,46.595026,outdoor
-84.279215,46.595028,outdoor
-84.279236,46.595021,outdoor
-84.279245,46.59502,outdoor
-84.279245,46.595024,outdoor
-84.279242,46.595023,outdoor
-84.279254,46.595021,outdoor
-84.279262,46.595024,outdoor
-84.279272,46.595029,outdoor
-84.279292,46.595034,outdoor
-84.27932,46.595045,outdoor
-84.279331,46.595053,outdoor
-84.279342,46.59506,outdoor
-84.279353,46.595077,outdoor
-84.279351,46.59509,outdoor
-84.279326,46.595123,outdoor
-84.279317,46.595134,outdoor
-84.27931,46.595166,outdoor
-84.279311,46.595177,outdoor
-84.279319,46.595194,outdoor
-84.279327,46.595209,outdoor
-84.27934,46.595237,outdoor
-84.279352,46.595244,outdoor
-84.279357,46.59527,outdoor
-84.279363,46.595281,outdoor
-84.279376,46.595315,outdoor
-84.279385,46.595327,outdoor
-84.279404,46.59536,outdoor
-84.27941,46.59537,outdoor
-84.279432,46.5954,outdoor
-84.279443,46.595415,outdoor
-84.279462,46.595453,outdoor
-84.279472,46.595468,outdoor
-84.279496,46.595494,outdoor
-84.279515,46.595521,outdoor
-84.279537,46.595553,outdoor
-84.279541,46.595562,outdoor
-84.27957,46.595592,outdoor
-84.279582,46.595599,outdoor
-84.279603,46.595632,outdoor
-84.279613,46.595642,outdoor
-84.279642,46.59567,outdoor
-84.279657,46.595688,outdoor
-84.279664,46.595723,outdoor
-84.279663,46.595734,outdoor
-84.279662,46.595754,outdoor
-84.279658,46.595765,outdoor
-84.279605,46.595787,outdoor
-84.27958,46.595791,outdoor
-84.279539,46.595779,outdoor
-84.279484,46.595763,outdoor
-84.279468,46.595753,outdoor
-84.279427,46.595732,outdoor
-84.279376,46.595721,outdoor
-84.279352,46.595711,outdoor
-84.279279,46.595694,outdoor
-84.279225,46.595675,outdoor
-84.279179,46.595651,outdoor
-84.279134,46.595599,outdoor
-84.279135,46.59555,outdoor
-84.279113,46.595524,outdoor
-84.279062,46.595506,outdoor
-84.279014,46.595486,outdoor
-84.278961,46.595477,outdoor
-84.278906,46.595467,outdoor
-84.278858,46.59545,outdoor
-84.278809,46.5954,outdoor
-84.278766,46.595369,outdoor
-84.278725,46.595361,outdoor
-84.278653,46.595342,outdoor
-84.278589,46.595333,outdoor
-84.278505,46.595304,outdoor
-84.278426,46.595281,outdoor
-84.278339,46.595245,outdoor
-84.278264,46.595207,outdoor
-84.278197,46.59516,outdoor
-84.278137,46.595095,outdoor
-84.278126,46.595032,outdoor
-84.278127,46.594955,outdoor
-84.2781,46.594881,outdoor
-84.278062,46.594838,outdoor
-84.278031,46.594795,outdoor
-84.277998,46.594751,outdoor
-84.277998,46.594707,outdoor
-84.277977,46.594669,outdoor
-84.277956,46.594635,outdoor
-84.277907,46.594602,outdoor
-84.277886,46.594572,outdoor
-84.277849,46.594532,outdoor
-84.277785,46.594495,outdoor
-84.277727,46.594464,outdoor
-84.277673,46.594431,outdoor
-84.277613,46.594402,outdoor
-84.277559,46.594379,outdoor
-84.277501,46.594352,outdoor
-84.277435,46.594319,outdoor
-84.277383,46.594277,outdoor
-84.277347,46.594247,outdoor
-84.277313,46.594215,outdoor
-84.277283,46.594171,outdoor
-84.277248,46.594143,outdoor
-84.277222,46.59412,outdoor
-84.277207,46.594099,outdoor
-84.277202,46.594089,outdoor
-84.277197,46.594079,outdoor
-84.277185,46.594053,outdoor
-84.277173,46.594022,outdoor
-84.277143,46.594005,outdoor
-84.277129,46.593972,outdoor
-84.27712,46.593958,outdoor
-84.27711,46.593947,outdoor
-84.277107,46.593931,outdoor
-84.277103,46.593916,outdoor
-84.277104,46.593902,outdoor
-84.277094,46.593875,outdoor
-84.277089,46.593867,outdoor
-84.27708,46.593849,outdoor
-84.277065,46.593838,outdoor
-84.277043,46.593809,outdoor
-84.277039,46.593801,outdoor
-84.277026,46.593787,outdoor
-84.277013,46.593775,outdoor
-84.277,46.593758,outdoor
-84.276988,46.593743,outdoor
-84.276981,46.593728,outdoor
-84.276974,46.59371,outdoor
-84.276971,46.5937,outdoor
-84.276958,46.593684,outdoor
-84.276944,46.593674,outdoor
